R-HSA-49699,PR:000046284
R-HSA-1998759,PR:000046285
R-HSA-389669,PR:000046286
R-HSA-904852,PR:000046287
R-HSA-174373,PR:000046288
R-HSA-2574841,PR:000046289
R-HSA-992752,PR:000046290
R-HSA-992755,PR:000046291
R-HSA-5661253,PR:000046292
R-HSA-196063,PR:000046293
R-HSA-377265,PR:000046294
R-HSA-198634,PR:000046295
R-HSA-198356,PR:000046296
R-HSA-8848757,PR:000046297
R-HSA-2317312,PR:000046298
R-HSA-202066,PR:000046299
R-HSA-202056,PR:000046300
R-HSA-3009363,PR:000046301
R-HSA-3009370,PR:000046302
R-HSA-3009365,PR:000046303
R-HSA-189438,PR:000046304
R-HSA-1022086,PR:000046305
R-HSA-1022083,PR:000046306
R-HSA-114609,PR:000046307
R-HSA-71688,PR:000046308
R-HSA-2980896,PR:000046309
R-HSA-5696097,PR:000046310
R-HSA-71718,PR:000046311
R-HSA-5692291,PR:000046312
R-HSA-70673,PR:000046313
R-HSA-916831,PR:000046314
R-HSA-70890,PR:000046315
R-HSA-508562,PR:000046316
R-HSA-71251,PR:000046317
R-HSA-349735,PR:000046318
R-HSA-70339,PR:000046319
R-HSA-6801464,PR:000046320
R-HSA-8857700,PR:000046321
R-HSA-2142768,PR:000046322
R-HSA-2142838,PR:000046323
R-HSA-429010,PR:000046324
R-HSA-2318765,PR:000046325
R-HSA-8847823,PR:000046326
R-HSA-156649,PR:000046327
R-HSA-192146,PR:000046328
R-HSA-1632854,PR:000046329
R-HSA-264825,PR:000046330
R-HSA-189050,PR:000046331
R-HSA-189041,PR:000046332
R-HSA-189057,PR:000046333
R-HSA-6805137,PR:000046334
R-HSA-5692435,PR:000046335
R-HSA-204854,PR:000046336
R-HSA-204867,PR:000046337
R-HSA-381271,PR:000046338
R-HSA-2022340,PR:000046339
R-HSA-444539,PR:000046340
R-HSA-5263667,PR:000046341
R-HSA-8862945,PR:000046342
R-HSA-5263641,PR:000046343
R-HSA-2889048,PR:000046344
R-HSA-5696150,PR:000046345
R-HSA-5696151,PR:000046346
R-HSA-167703,PR:000046347
R-HSA-167700,PR:000046348
R-HSA-8856805,PR:000046349
R-HSA-3009421,PR:000046350
R-HSA-5246690,PR:000046351
R-HSA-976737,PR:000046352
R-HSA-50119,PR:000046353
R-HSA-8848898,PR:000046354
R-HSA-174667,PR:000046355
R-HSA-174608,PR:000046356
R-HSA-171065,PR:000046357
R-HSA-2173751,PR:000046358
R-HSA-8855541,PR:000046359
R-HSA-174699,PR:000046360
R-HSA-174725,PR:000046361
R-HSA-5215930,PR:000046362
R-HSA-5216199,PR:000046363
R-HSA-174615,PR:000046364
R-HSA-8848901,PR:000046365
R-HSA-2168877,PR:000046366
R-HSA-8862979,PR:000046367
R-HSA-139835,PR:000046368
R-HSA-50171,PR:000046369
R-HSA-431700,PR:000046370
R-HSA-5672639,PR:000046371
R-HSA-5672646,PR:000046372
R-HSA-5672681,PR:000046373
R-HSA-199971,PR:000046374
R-HSA-1604608,PR:000046375
R-HSA-6807737,PR:000046376
R-HSA-2029049,PR:000046377
R-HSA-6807738,PR:000046378
R-HSA-452025,PR:000046379
R-HSA-8849056,PR:000046380
R-HSA-2976574,PR:000046381
R-HSA-194478,PR:000046382
R-HSA-195081,PR:000046383
R-HSA-2976623,PR:000046384
R-HSA-389259,PR:000046385
R-HSA-5225635,PR:000046386
R-HSA-5225613,PR:000046387
R-HSA-5216230,PR:000046388
R-HSA-5618182,PR:000046389
R-HSA-5617766,PR:000046390
R-HSA-421312,PR:000046391
R-HSA-6787770,PR:000046392
R-HSA-200812,PR:000046393
R-HSA-200813,PR:000046394
R-HSA-200806,PR:000046395
R-HSA-2160959,PR:000046396
R-HSA-2168081,PR:000046397
R-HSA-6783186,PR:000046398
R-HSA-6783000,PR:000046399
R-HSA-1614331,PR:000046400
R-HSA-1614315,PR:000046401
R-HSA-1614365,PR:000046402
R-HSA-1609679,PR:000046403
R-HSA-1614361,PR:000046404
R-HSA-1609671,PR:000046405
R-HSA-1609674,PR:000046406
R-HSA-1609684,PR:000046407
R-HSA-62504,PR:000046408
R-HSA-70597,PR:000046409
R-HSA-450243,PR:000046410
R-HSA-5675831,PR:000046411
R-HSA-6801293,PR:000046412
R-HSA-5671732,PR:000046413
R-HSA-5682043,PR:000046414
R-HSA-937309,PR:000046415
R-HSA-164575,PR:000046416
R-HSA-1299441,PR:000046417
R-HSA-164577,PR:000046418
R-HSA-164574,PR:000046419
R-HSA-50508,PR:000046420
R-HSA-164537,PR:000046421
R-HSA-164535,PR:000046422
R-HSA-5215956,PR:000046423
R-HSA-5216110,PR:000046424
R-HSA-50522,PR:000046425
R-HSA-50514,PR:000046426
R-HSA-164532,PR:000046427
R-HSA-50516,PR:000046428
R-HSA-50518,PR:000046429
R-HSA-164533,PR:000046430
R-HSA-5215992,PR:000046431
R-HSA-5215981,PR:000046432
R-HSA-2022356,PR:000046433
R-HSA-1222533,PR:000046434
R-HSA-912586,PR:000046435
R-HSA-912606,PR:000046436
R-HSA-912578,PR:000046437
R-HSA-70775,PR:000046438
R-HSA-4655367,PR:000046439
R-HSA-4655414,PR:000046440
R-HSA-8866009,PR:000046441
R-HSA-3640841,PR:000046442
R-HSA-3640864,PR:000046443
R-HSA-206040,PR:000046444
R-HSA-4641133,PR:000046445
R-HSA-3640842,PR:000046446
R-HSA-3640859,PR:000046447
R-HSA-4641131,PR:000046448
R-HSA-197705,PR:000046449
R-HSA-5357460,PR:000046450
R-HSA-5215961,PR:000046451
R-HSA-1236827,PR:000046452
R-HSA-6783326,PR:000046453
R-HSA-5693006,PR:000046454
R-HSA-217297,PR:000046455
R-HSA-198335,PR:000046456
R-HSA-5255445,PR:000046457
R-HSA-5255451,PR:000046458
R-HSA-173484,PR:000046459
R-HSA-2993896,PR:000046460
R-HSA-5659846,PR:000046461
R-HSA-5617640,PR:000046462
R-HSA-2064073,PR:000046463
R-HSA-8848723,PR:000046464
R-HSA-5218739,PR:000046465
R-HSA-372645,PR:000046466
R-HSA-5420902,PR:000046467
R-HSA-70698,PR:000046468
R-HSA-70703,PR:000046469
R-HSA-3640835,PR:000046470
R-HSA-70014,PR:000046471
R-HSA-70015,PR:000046472
R-HSA-5693124,PR:000046473
R-HSA-5693129,PR:000046474
R-HSA-1168575,PR:000046475
R-HSA-2976671,PR:000046476
R-HSA-140525,PR:000046477
R-HSA-5682391,PR:000046478
R-HSA-6782989,PR:000046479
R-HSA-6807212,PR:000046480
R-HSA-1614525,PR:000046481
R-HSA-8848107,PR:000046482
R-HSA-8868265,PR:000046483
R-HSA-983580,PR:000046484
R-HSA-4568883,PR:000046485
R-HSA-983579,PR:000046486
R-HSA-189388,PR:000046487
R-HSA-3145026,PR:000046488
R-HSA-3229116,PR:000046489
R-HSA-2396409,PR:000046490
R-HSA-2396130,PR:000046491
R-HSA-2396280,PR:000046492
R-HSA-201480,PR:000046493
R-HSA-201448,PR:000046494
R-HSA-201657,PR:000046495
R-HSA-201814,PR:000046496
R-HSA-201442,PR:000046497
R-HSA-445450,PR:000046498
R-HSA-4086411,PR:000046499
R-HSA-3000330,PR:000046500
R-HSA-6798334,PR:000046501
R-HSA-6784968,PR:000046502
R-HSA-6799126,PR:000046503
R-HSA-176573,PR:000046504
R-HSA-167224,PR:000046505
R-HSA-5675199,PR:000046506
R-HSA-1063700,PR:000046507
R-HSA-5672667,PR:000046508
R-HSA-5672676,PR:000046509
R-HSA-5672673,PR:000046510
R-HSA-75234,PR:000046511
R-HSA-5683800,PR:000046512
R-HSA-2997644,PR:000046513
R-HSA-2997624,PR:000046514
R-HSA-5682577,PR:000046515
R-HSA-1671645,PR:000046516
R-HSA-3076888,PR:000046517
R-HSA-2424454,PR:000046518
R-HSA-2685603,PR:000046519
R-HSA-197774,PR:000046520
R-HSA-389925,PR:000046521
R-HSA-1964509,PR:000046522
R-HSA-173558,PR:000046523
R-HSA-173560,PR:000046524
R-HSA-158123,PR:000046525
R-HSA-173563,PR:000046526
R-HSA-173554,PR:000046527
R-HSA-173557,PR:000046528
R-HSA-166778,PR:000046529
R-HSA-5260194,PR:000046530
R-HSA-981625,PR:000046531
R-HSA-981629,PR:000046532
R-HSA-173706,PR:000046533
R-HSA-173707,PR:000046534
R-HSA-173712,PR:000046535
R-HSA-173717,PR:000046536
R-HSA-1237027,PR:000046537
R-HSA-1237032,PR:000046538
R-HSA-1237018,PR:000046539
R-HSA-1237012,PR:000046540
R-HSA-1237014,PR:000046541
R-HSA-1237028,PR:000046542
R-HSA-1237023,PR:000046543
R-HSA-1237016,PR:000046544
R-HSA-1235065,PR:000046545
R-HSA-210446,PR:000046546
R-HSA-210402,PR:000046547
R-HSA-73452,PR:000046548
R-HSA-433734,PR:000046549
R-HSA-198169,PR:000046550
R-HSA-419860,PR:000046551
R-HSA-1236879,PR:000046552
R-HSA-350695,PR:000046553
R-HSA-416999,PR:000046554
R-HSA-4332334,PR:000046555
R-HSA-417009,PR:000046556
R-HSA-417002,PR:000046557
R-HSA-417014,PR:000046558
R-HSA-111902,PR:000046559
R-HSA-444232,PR:000046560
R-HSA-195906,PR:000046561
R-HSA-350746,PR:000046562
R-HSA-879363,PR:000046563
R-HSA-879448,PR:000046564
R-HSA-879409,PR:000046565
R-HSA-202438,PR:000046566
R-HSA-2685625,PR:000046567
R-HSA-1168564,PR:000046568
R-HSA-5607623,PR:000046569
R-HSA-622412,PR:000046570
R-HSA-198636,PR:000046571
R-HSA-420719,PR:000046572
R-HSA-51417,PR:000046573
R-HSA-2534366,PR:000046574
R-HSA-2534354,PR:000046575
R-HSA-163510,PR:000046576
R-HSA-912656,PR:000046577
R-HSA-2142784,PR:000046578
R-HSA-1614563,PR:000046579
R-HSA-3769354,PR:000046580
R-HSA-3371569,PR:000046581
R-HSA-388539,PR:000046582
R-HSA-8851331,PR:000046583
R-HSA-443966,PR:000046584
R-HSA-8862740,PR:000046585
R-HSA-373103,PR:000046586
R-HSA-443987,PR:000046587
